section,name,priority,themes,roles,preferred_forms,identity_status
"minerals_crystals","Clear Quartz","A_CORE","Glacier|Starlight|Mountain","light|structural_mineral|atmosphere","6-8mm round|8-12mm faceted|12-22mm irregular/polygon hero","canonical_match"
"minerals_crystals","Smoky Quartz","A_CORE","Mountain|Forest|Starlight","anchor|shadow|atmosphere","6-8mm round|8-10mm round|12-22mm oval/faceted focal","canonical_match"
"minerals_crystals","Aquamarine","A_CORE","Glacier|Ocean","anchor_atmosphere|light|hero","6-8mm round|6-8mm faceted|10-18mm irregular/oval focal","canonical_match"
"minerals_crystals","Labradorite","A_CORE","Starlight|Forest|Mountain","shadow|light|hero","6-8mm round|7-10mm faceted|12-20mm irregular focal","canonical_match"
"minerals_crystals","Rainbow Moonstone","A_CORE","Glacier|Starlight|Ocean","light|transition|atmosphere","4-6mm micro/round|6-8mm round|8-12mm irregular accent","canonical_match"
"minerals_crystals","Amazonite","A_CORE","Ocean|Glacier|Forest","atmosphere|color_field|transition","6-8mm round|6-8mm cube|8-14mm irregular","canonical_match"
"minerals_crystals","Lapis Lazuli","A_CORE","Ocean|Starlight","anchor|color_field|micro_accent","3-5mm micro bead|6-8mm round|6-10mm cube/barrel","canonical_match"
"minerals_crystals","Green Phantom Quartz","A_CORE","Forest|Mountain","hero|texture|geological_composition","8-10mm round|10-16mm irregular|12-22mm clear inclusion focal","canonical_match"
"minerals_crystals","Obsidian","A_CORE","Mountain|Forest|Starlight","shadow|anchor|structural_mineral","4-6mm micro bead|6-10mm round|8-14mm faceted/geometric","canonical_match"
"minerals_crystals","Amethyst","A_CORE","Starlight|Sunrise","color_field|light|accent","5-8mm round|6-10mm faceted|10-16mm irregular","canonical_match"
"minerals_crystals","Citrine","A_CORE","Sunrise|Mountain","light|warm_accent|hero","5-8mm round|6-10mm faceted|10-18mm irregular","canonical_match"
"minerals_crystals","Tiger's Eye","A_CORE","Mountain|Forest|Sunrise","anchor|texture|warm_accent","5-8mm round|6-10mm barrel|8-14mm geometric","canonical_match"
